hour,load,pv,purchase,net_discharge,soc
0.0,573.3077666666666,0.0,1406.6410999999998,-833.3333333333333,6750.0
0.16666666666666666,572.9965333333333,0.0,1406.3298666666665,-833.3333333333333,7500.0
0.3333333333333333,574.0505166666667,0.0,1407.38385,-833.3333333333333,8250.0
0.5,575.7406166666666,0.0,1409.07395,-833.3333333333333,9000.0
0.6666666666666666,576.4712166666666,0.0,1409.8045499999998,-833.3333333333333,9750.0
0.8333333333333334,576.6400166666666,0.0,576.6400166666666,0.0,9750.0
1.0,577.8597,0.0,577.8597,0.0,9750.0
1.1666666666666667,577.9938666666667,0.0,577.9938666666667,0.0,9750.0
1.3333333333333333,577.82805,0.0,911.1613833333333,-333.3333333333333,10050.0
1.5,580.41545,0.0,580.41545,0.0,10050.0
1.6666666666666667,582.5140166666666,0.0,582.5140166666666,0.0,10050.0
1.8333333333333333,583.0740499999999,0.0,583.0740499999999,0.0,10050.0
2.0,584.2049166666666,0.0,584.2049166666666,0.0,10050.0
2.1666666666666665,585.4397833333333,0.0,585.4397833333333,0.0,10050.0
2.3333333333333335,586.1447499999999,0.0,586.1447499999999,0.0,10050.0
2.5,586.3207666666666,0.0,586.3207666666666,0.0,10050.0
2.6666666666666665,586.4253,0.0,586.4253,0.0,10050.0
2.8333333333333335,586.8496,0.0,586.8496,0.0,10050.0
3.0,587.8210166666667,0.0,587.8210166666667,0.0,10050.0
3.1666666666666665,589.5475666666666,0.0,589.5475666666666,0.0,10050.0
3.3333333333333335,590.8134666666666,0.0,590.8134666666666,0.0,10050.0
3.5,590.2131166666666,0.0,590.2131166666666,0.0,10050.0
3.6666666666666665,591.0662666666666,0.0,591.0662666666666,0.0,10050.0
3.8333333333333335,593.3678333333332,0.0,593.3678333333332,0.0,10050.0
4.0,593.6596833333333,0.0,593.6596833333333,0.0,10050.0
4.166666666666667,592.7863833333333,0.0,592.7863833333333,0.0,10050.0
4.333333333333333,593.3378666666666,0.0,593.3378666666666,0.0,10050.0
4.5,596.7756666666667,0.0999,596.6757666666666,0.0,10050.0
4.666666666666667,597.8193333333334,0.03908333333333333,597.78025,0.0,10050.0
4.833333333333333,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,10050.0
5.0,593.7195166666667,3.1130166666666668,590.6065,0.0,10050.0
5.166666666666667,598.5634833333334,9.078299999999999,589.4851833333333,0.0,10050.0
5.333333333333333,596.6174166666666,18.161966666666665,578.4554499999999,0.0,10050.0
5.5,581.0198333333333,30.693383333333333,1383.659783333333,-833.3333333333333,10800.0
5.666666666666667,637.3165666666666,46.17636666666667,591.1401999999999,-0.0,10800.0
5.833333333333333,733.0121166666665,64.75823333333332,0.0,668.2538833333332,10057.495685185186
6.0,742.3353833333333,86.88005,0.0,655.4553333333333,9329.211981481481
6.166666666666667,728.6319833333333,112.12795,0.0,616.5040333333334,8644.2075
6.333333333333333,732.1588333333334,140.70434999999998,0.0,591.4544833333334,7987.035851851852
6.5,730.7659333333332,173.27906666666667,0.0,557.4868666666666,7367.606000000001
6.666666666666667,739.1292833333333,209.88958333333335,0.0,529.2397,6779.561888888889
6.833333333333333,753.90935,251.43863333333334,0.0,502.4707166666667,6221.261092592593
7.0,754.0120166666667,298.56845,0.0,455.4435666666667,5715.212685185185
7.166666666666667,757.6477833333333,347.5810833333333,0.0,410.0667,5259.583018518519
7.333333333333333,753.8736333333333,396.87685,0.0,356.99678333333327,4862.919925925926
7.5,730.5594333333333,447.1958666666667,0.0,283.36356666666666,4548.071518518518
7.666666666666667,818.4099833333332,497.72586666666666,0.0,320.68411666666657,4191.755833333333
7.833333333333333,966.6221166666666,548.2006666666666,0.0,418.42144999999994,3726.8431111111104
8.0,980.8043333333333,598.89355,0.0,381.91078333333326,3302.4977962962957
8.166666666666666,958.0118833333332,648.4555333333333,0.0,309.55634999999995,2958.5462962962956
8.333333333333334,961.5096833333333,696.8902833333333,0.0,264.61940000000004,2664.52474074074
8.5,959.0350833333333,745.2942833333333,0.0,213.74080000000004,2427.0349629629623
8.666666666666666,970.6967833333333,792.1378666666666,0.0,178.55891666666673,2228.6361666666658
8.833333333333334,992.3766833333334,836.9845666666666,0.0,155.39211666666677,2055.9782592592583
9.0,993.1616,880.9020999999999,0.0,112.25950000000012,1931.2454814814803
9.166666666666666,988.2592333333333,923.8623666666667,0.0,64.3968666666666,1859.6934074074063
9.333333333333334,987.2971333333332,964.7348833333333,0.0,22.56224999999995,1834.6242407407397
9.5,984.5976666666667,1002.0217333333333,0.0,-17.42406666666659,1850.3059007407396
9.666666666666666,983.1877,1036.0254666666665,0.0,-52.83776666666654,1897.8598907407395
9.833333333333334,983.7032666666667,1068.2656833333333,0.0,-84.56241666666665,1973.9660657407394
10.0,982.9132166666666,1099.8968,0.0,-116.9835833333334,2079.2512907407395
10.166666666666666,981.1261333333333,1127.7867333333334,0.0,-146.66060000000004,2211.2458307407396
10.333333333333334,978.9118,1152.43205,0.0,-173.52024999999992,2367.4140557407395
10.5,976.3384666666667,1177.36755,0.0,-201.02908333333323,2548.3402307407396
10.666666666666666,974.1658,1199.5719166666665,0.0,-225.40611666666655,2751.2057357407393
10.833333333333334,973.1764499999999,1217.1857,0.0,-244.00925000000007,2970.8140607407395
11.0,973.1183833333332,1231.2808,575.1709166666665,-833.3333333333333,3720.8140607407395
11.166666666666666,970.5729666666666,1243.2044999999998,0.0,-272.6315333333332,3966.1824407407394
11.333333333333334,969.1322,1253.4531833333333,0.0,-284.3209833333333,4222.07132574074
11.5,972.06585,1261.3673166666667,179.2771713991827,-468.5786380658495,4643.792100000004
11.666666666666666,952.1501666666666,1265.3589833333333,520.1245166666665,-833.3333333333333,5393.792100000004
11.833333333333334,919.9101166666666,1266.84055,486.40289999999993,-833.3333333333333,6143.792100000004
12.0,915.7984499999999,1268.7193333333332,480.4124499999999,-833.3333333333333,6893.792100000004
12.166666666666666,919.0754,1267.1087333333332,485.29999999999995,-833.3333333333333,7643.792100000004
