hour,actual_net_load,forecast_net_load,planned_purchase
0.0,514.6639666666666,517.9448117866199,586.0018334672612
0.16666666666666666,533.3486499999999,503.6963228352291,571.969686501764
0.3333333333333333,566.91,490.94729343364133,553.9729644283104
0.5,510.5876833333333,509.64082482854735,573.9474238681312
0.6666666666666666,470.04286666666667,512.4480721223536,576.6161410937556
0.8333333333333334,480.56333333333333,497.2019716063459,554.0544679096802
1.0,478.3299333333333,506.5708333704015,562.9292404025282
1.1666666666666667,497.63811666666663,505.4779534520475,570.9111748649228
1.3333333333333333,527.3633333333332,492.37527133289166,540.4312077612119
1.5,510.8076166666666,501.3387185480723,548.98016383977
1.6666666666666667,492.3409833333333,496.6737842680785,559.8634564967098
1.8333333333333333,499.1033333333333,480.2595895037198,531.524213352273
2.0,512.0669,490.11750057521647,527.5487252896321
2.1666666666666665,502.18358333333333,488.89937186408014,537.2575059544733
2.3333333333333335,473.125,476.3548881950376,531.1416774122216
2.5,458.3199833333333,488.5498700314758,530.3843333847669
2.6666666666666665,470.09745,483.4248474810274,520.3169417127203
2.8333333333333335,489.3733333333333,462.81576942027857,506.57741948891464
3.0,486.69803333333334,472.58200144386564,0.0
3.1666666666666665,491.8388,480.3519044714449,77.40519996620606
3.3333333333333335,496.25166666666667,475.94484114073913,514.9932225979028
3.5,463.3802999999999,482.9856848948165,519.120478794482
3.6666666666666665,454.71764999999994,490.95437095554917,515.547387855504
3.8333333333333335,477.03166666666664,490.02119980332975,0.0
4.0,474.28198333333336,481.5188292116064,0.0
4.166666666666667,458.1585,472.77680147494186,0.0
4.333333333333333,446.2183333333333,469.8581181091473,497.2372129197781
4.5,442.9532833333333,473.0428584266648,0.0
4.666666666666667,450.38674999999995,473.7125734289475,0.0
4.833333333333333,454.1741666666667,466.8948325370837,0.0
5.0,424.65871666666663,442.31679476997306,462.8629360213952
5.166666666666667,390.48345,415.7653605906977,0.0
5.333333333333333,370.84583333333336,392.1076039068612,412.1236687864422
5.5,359.578,365.0123759449579,389.20920335022913
5.666666666666667,337.0349166666666,339.8589510487545,0.0
5.833333333333333,308.48999999999995,315.1533785979904,0.0
6.0,291.9625,282.4948267899874,0.0
6.166666666666667,246.47136666666668,245.37205884386856,0.0
6.333333333333333,166.35125,203.26136466201405,0.0
6.5,97.38518333333332,158.35616586468302,0.0
6.666666666666667,86.21210000000008,148.89013022132036,0.0
6.833333333333333,100.83666666666659,149.2688409114914,0.0
7.0,63.282299999999964,94.50462453698123,0.0
7.166666666666667,21.927683333333334,49.78363364473512,0.0
7.333333333333333,-8.33958333333328,24.515352634948613,0.0
7.5,-62.9667833333333,-32.4442758775798,0.0
7.666666666666667,-116.30371666666667,-61.78742586341673,0.0
7.833333333333333,-156.84416666666664,-62.507881554551886,0.0
8.0,-195.4521166666667,-98.87024909721822,0.0
8.166666666666666,-213.46854999999994,-149.81434640569023,0.0
8.333333333333334,-220.18499999999995,-198.5520410899553,0.0
8.5,-241.48293333333334,-239.68649453309752,0.0
